Latitude,Longitude,System,Subway_Letter,Subway_Line,Station_Name,Ridership_Rank,Ridership,Weekday_Ridership,Not_in_SGR,Not_in_SGR_Perc,SGR_Class,Planned_Work,Planned_Work_Dummy,CT,geoid,Boro_Code,Boro_Name,CountyFIPS,Neigh_Code,Neigh_Name,Med_Income
40.755983,-73.986229,IRT,S,Shuttle,Times Sq-42 St,1,65948730,204908,11,0.48,Bad,None,0,"Census Tract 119, New York County, New York",36061011900,1,Manhattan,61,MN17,Midtown-Midtown South,11981
40.674772,-73.957624,BMT,S,Shuttle,Park Pl,401,608731,1968,0,0,VeryGood,,,"Census Tract 305, Kings County, New York",36047030500,3,Brooklyn,47,BK61,Crown Heights North,50100
40.752769,-73.979189,IRT,S,Shuttle,Grand Central-42 St,2,46074652,157899,4,0.11,Good,Planned component work on station lighting,1,"Census Tract 94, New York County, New York",36061009400,1,Manhattan,61,MN17,Midtown-Midtown South,41250
40.680596,-73.955827,BMT,S,Shuttle,Franklin Av,239,2125076,6492,1,0.09,Good,None,0,"Census Tract 227, Kings County, New York",36047022700,3,Brooklyn,47,BK69,Clinton Hill,47083
40.670343,-73.959245,BMT,S,Shuttle,Botanic Gardens,93,5377967,15787,2,0.11,Good,None,0,"Census Tract 213, Kings County, New York",36047021300,3,Brooklyn,47,BK63,Crown Heights South,42022
40.703087,-74.012994,BMT,R,Broadway,Whitehall St-South Ferry,62,7116897,23017,5,0.12,Good,None,0,"Census Tract 9, New York County, New York",36061000900,1,Manhattan,61,MN25,Battery Park City-Lower Manhattan,165313
40.677316,-73.98311,BMT,R,4th Avenue,Union St,241,2065047,6415,5,0.25,Regular,,,"Census Tract 119, Kings County, New York",36047011900,3,Brooklyn,47,BK37,Park Slope-Gowanus,66875
40.70722,-74.013342,BMT,R,Broadway,Rector St,328,1116833,4127,2,0.05,Good,,,"Census Tract 13, New York County, New York",36061001300,1,Manhattan,61,MN25,Battery Park City-Lower Manhattan,120861
40.665414,-73.992872,BMT,R,4th Avenue,Prospect Av,257,1827271,5943,10,0.53,Bad,Planned component work on platform components,1,"Census Tract 143, Kings County, New York",36047014300,3,Brooklyn,47,BK37,Park Slope-Gowanus,63606
40.69218,-73.985942,BMT,R,Broadway,Jay St-MetroTech,23,12197352,41405,13,0.3,Regular,None,0,"Census Tract 11, Kings County, New York",36047001100,3,Brooklyn,47,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,120208
40.6941,-73.991777,BMT,R,Broadway,Court St,27,11474717,38944,12,0.36,Regular,None,0,"Census Tract 9, Kings County, New York",36047000900,3,Brooklyn,47,BK09,Brooklyn Heights-Cobble Hill,115952
40.710668,-74.011029,BMT,R,Broadway,Cortlandt St,277,1500040,5393,3,0.08,Good,,,"Census Tract 13, New York County, New York",36061001300,1,Manhattan,61,MN25,Battery Park City-Lower Manhattan,120861
40.713282,-74.006978,BMT,R,Broadway,City Hall,319,1151646,4344,7,0.18,Good,,,"Census Tract 31, New York County, New York",36061003100,1,Manhattan,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,160811
40.616622,-74.030876,BMT,R,4th Avenue,Bay Ridge-95 St,252,1858200,6051,8,0.26,Regular,,,"Census Tract 54, Kings County, New York",36047005400,3,Brooklyn,47,BK31,Bay Ridge,62778
40.634967,-74.023377,BMT,R,4th Avenue,Bay Ridge Av,188,2597559,8283,13,0.48,Bad,,,"Census Tract 68, Kings County, New York",36047006800,3,Brooklyn,47,BK31,Bay Ridge,37946
40.622687,-74.028398,BMT,R,4th Avenue,86 St,134,3753132,11920,5,0.21,Regular,,,"Census Tract 60, Kings County, New York",36047006000,3,Brooklyn,47,BK31,Bay Ridge,62578
