X,Y,Latitude,Longitude,System,Subway_Let,Subway_Lin,Station_Na,Ridership_,Ridership,Weekday_Ri,Not_in_SGR,Not_in_S_1,SGR_Class,Planned_Wo,Planned__1,BoroCode,BoroName,CountyFIPS,NTACode,NTAName,Shape_Leng,Shape_Area
-73.878855,40.874811,40.874811,-73.878855,IND,D,Concourse,Norwood-205 St,187,2709761,8466,8,0.26,Regular,Planned component work on ventilators,1,2,Bronx,5,BX43,Norwood,22148.64511,15708884.41
-73.905227,40.85041,40.85041,-73.905227,IND,B-D,Concourse,Tremont Av,165,3130848,9727,11,0.15,Good,None,0,2,Bronx,5,BX41,Mount Hope,18935.16738,14718296.46
-73.893509,40.866978,40.866978,-73.893509,IND,B-D,Concourse,Kingsbridge Rd,194,2562374,7975,18,0.27,Regular,Planned component work on street stairs and station lighting,1,2,Bronx,5,BX05,Bedford Park-Fordham North,22565.4822,14998883.24
-73.897749,40.861296,40.861296,-73.897749,IND,B-D,Concourse,Fordham Rd,128,4028205,12363,14,0.22,Regular,None,0,2,Bronx,5,BX05,Bedford Park-Fordham North,22565.4822,14998883.24
-73.887138,40.873244,40.873244,-73.887138,IND,B-D,Concourse,Bedford Pk Blvd,232,2136860,6645,23,0.31,Regular,None,0,2,Bronx,5,BX05,Bedford Park-Fordham North,22565.4822,14998883.24
-73.900741,40.856093,40.856093,-73.900741,IND,B-D,Concourse,182-183 Sts,299,1604218,4813,20,0.33,Regular,Planned component work on station lighting,1,2,Bronx,5,BX40,Fordham South,15878.27292,6307283.622
-73.910136,40.8459,40.8459,-73.910136,IND,B-D,Concourse,174 -175 Sts,280,1719504,5301,15,0.25,Regular,Planned component work on street stairs,1,2,Bronx,5,BX41,Mount Hope,18935.16738,14718296.46
-73.9134,40.839306,40.839306,-73.9134,IND,B-D,Concourse,170 St,162,2297459,9906,11,0.19,Good,Planned component work on street stairs and station lighting,1,2,Bronx,5,BX14,East Concourse-Concourse Village,27275.79235,18232622.29
-73.918432,40.833769,40.833769,-73.918432,IND,B-D,Concourse,167 St,161,3245977,9906,29,0.39,Regular,"Planned component work on interior stairs, street stairs, platform components, station lighting, and ventilators",1,2,Bronx,5,BX63,West Concourse,28550.70037,19369542.22
-73.925651,40.827905,40.827905,-73.925651,IND,B-D,Concourse,161 St-Yankee Stadium,42,8961029,27541,3,0.06,Good,None,0,2,Bronx,5,BX63,West Concourse,28550.70037,19369542.22
-73.847036,40.836488,40.836488,-73.847036,IRT,6,Pelham,Zerega Av,399,599478,2012,1,0.04,VeryGood,None,0,2,Bronx,5,BX59,Westchester-Unionport,26557.40908,23945209.5
-73.886283,40.826525,40.826525,-73.886283,IRT,6,Pelham,Whitlock Av,404,543798,1707,0,0,VeryGood,None,0,2,Bronx,5,BX27,Hunts Point,44778.619,49734670.56
-73.842952,40.839892,40.839892,-73.842952,IRT,6,Pelham,Westchester Sq-East Tremont Av,213,2177402,7351,5,0.21,Regular,Planned component work on interior stairs,1,2,Bronx,5,BX37,Van Nest-Morris Park-Westchester Square,42862.13906,36304722.82
-73.867618,40.831509,40.831509,-73.867618,IRT,6,Pelham,St Lawrence Av,329,1315456,4099,0,0,VeryGood,None,0,2,Bronx,5,BX55,Soundview-Bruckner,19755.3055,16260511.42
-73.828121,40.852462,40.852462,-73.828121,IRT,6,Pelham,Pelham Bay Park,211,2318533,7442,4,0.14,Good,None,0,2,Bronx,5,BX10,Pelham Bay-Country Club-City Island,139408.5649,40248130.52
-73.860816,40.833226,40.833226,-73.860816,IRT,6,Pelham,Parkchester,76,5586943,17746,0,0,VeryGood,None,0,2,Bronx,5,BX55,Soundview-Bruckner,19755.3055,16260511.42
-73.874516,40.829521,40.829521,-73.874516,IRT,6,Pelham,Morrison Av-Soundview,230,2125383,6669,0,0,VeryGood,None,0,2,Bronx,5,BX55,Soundview-Bruckner,19755.3055,16260511.42
-73.836322,40.843863,40.843863,-73.836322,IRT,6,Pelham,Middletown Rd,390,661242,2273,2,0.09,Good,None,0,2,Bronx,5,BX10,Pelham Bay-Country Club-City Island,139408.5649,40248130.52
-73.896435,40.816104,40.816104,-73.896435,IRT,6,Pelham,Longwood Av,353,1098022,3531,2,0.1,Good,Planned component work on platform components and station lighting,1,2,Bronx,5,BX33,Longwood,18982.1293,10732451.84
-73.890549,40.820948,40.820948,-73.890549,IRT,6,Pelham,Hunts Point Av,156,3138131,10111,5,0.21,Regular,"Planned component work on interior stairs, platform components, and ventilators",1,2,Bronx,5,BX27,Hunts Point,44778.619,49734670.56
-73.879159,40.828584,40.828584,-73.879159,IRT,6,Pelham,Elder Av,237,2084044,6496,0,0,VeryGood,None,0,2,Bronx,5,BX08,West Farms-Bronx River,17463.66246,15081849.74
-73.904098,40.812118,40.812118,-73.904098,IRT,6,Pelham,E 149 St,311,1460311,4619,10,0.37,Regular,Planned component work on ventilators,1,2,Bronx,5,BX33,Longwood,18982.1293,10732451.84
-73.907657,40.808719,40.808719,-73.907657,IRT,6,Pelham,E 143 St-St Mary's St,413,279012,927,13,0.45,Bad,Planned component work on ventilators,1,2,Bronx,5,BX39,Mott Haven-Port Morris,35601.18369,41903939.65
-73.914042,40.805368,40.805368,-73.914042,IRT,6,Pelham,Cypress Av,334,1226878,3984,0,0,VeryGood,None,0,2,Bronx,5,BX39,Mott Haven-Port Morris,35601.18369,41903939.65
-73.851222,40.834255,40.834255,-73.851222,IRT,6,Pelham,Castle Hill Av,291,1491030,4938,3,0.13,Good,None,0,2,Bronx,5,BX59,Westchester-Unionport,26557.40908,23945209.5
-73.832569,40.84681,40.84681,-73.832569,IRT,6,Pelham,Buhre Av,396,637600,2155,0,0,VeryGood,None,0,2,Bronx,5,BX10,Pelham Bay-Country Club-City Island,139408.5649,40248130.52
-73.91924,40.807566,40.807566,-73.91924,IRT,6,Pelham,Brook Av,245,2002825,6312,14,0.47,Bad,"Planned component work on street stairs, platform components, and station lighting",1,2,Bronx,5,BX39,Mott Haven-Port Morris,35601.18369,41903939.65
-73.926138,40.810476,40.810476,-73.926138,IRT,6,Pelham,3 Av-138 St,196,2534036,7951,20,0.51,Bad,Planned station renewal,1,2,Bronx,5,BX39,Mott Haven-Port Morris,35601.18369,41903939.65
-73.855359,40.858985,40.858985,-73.855359,IRT,5,Dyre Avenue,Pelham Pkwy,360,3084862,3304,7,0.41,Bad,Planned component work on platform components and station lighting,1,2,Bronx,5,BX31,Allerton-Pelham Gardens,25462.68489,31684499.29
-73.860495,40.854364,40.854364,-73.860495,IRT,5,Dyre Avenue,Morris Park,392,621945,2253,12,0.5,Bad,None,0,2,Bronx,5,BX49,Pelham Parkway,25817.54099,23031630.79
-73.846384,40.869526,40.869526,-73.846384,IRT,5,Dyre Avenue,Gun Hill Rd,253,2477798,6038,3,0.18,Good,Planned component work on platform components,1,2,Bronx,5,BX31,Allerton-Pelham Gardens,25462.68489,31684499.29
-73.830834,40.8883,40.8883,-73.830834,IRT,5,Dyre Avenue,Eastchester-Dyre Av,290,1380334,4948,1,0.11,Good,Planned component work on station lighting,1,2,Bronx,5,BX03,Eastchester-Edenwald-Baychester,59165.00477,40256749.66
-73.838591,40.878663,40.878663,-73.838591,IRT,5,Dyre Avenue,Baychester Av,327,1186372,4196,5,0.31,Regular,None,0,2,Bronx,5,BX13,Co-op City,30338.27643,39875760.07
-73.929849,40.813224,40.813224,-73.929849,IRT,4/5/15,Jerome,138 St-Grand Concourse,359,1033559,3416,15,0.65,VeryBad,Planned station renewal,1,2,Bronx,5,BX39,Mott Haven-Port Morris,35601.18369,41903939.65
-73.878751,40.886037,40.886037,-73.878751,IRT,4,Jerome,Woodlawn,204,2375663,7683,0,0,VeryGood,None,0,2,Bronx,5,BX43,Norwood,22148.64511,15708884.41
-73.914685,40.844434,40.844434,-73.914685,IRT,4,Jerome,Mt Eden Av,261,1824861,5891,5,0.24,Regular,Planned component work on platform components,1,2,Bronx,5,BX41,Mount Hope,18935.16738,14718296.46
-73.884655,40.87975,40.87975,-73.884655,IRT,4,Jerome,Mosholu Pkwy,173,2886764,9459,0,0,VeryGood,None,0,2,Bronx,5,BX43,Norwood,22148.64511,15708884.41
-73.897174,40.86776,40.86776,-73.897174,IRT,4,Jerome,Kingsbridge Rd,153,3149605,10231,1,0.04,VeryGood,Planned component work on platform components,1,2,Bronx,5,BX28,Van Cortlandt Village,22003.83996,25673275.3
-73.901034,40.862803,40.862803,-73.901034,IRT,4,Jerome,Fordham Rd,131,3857749,12231,1,0.04,VeryGood,None,0,2,Bronx,5,BX05,Bedford Park-Fordham North,22565.4822,14998883.24
-73.907684,40.853453,40.853453,-73.907684,IRT,4,Jerome,Burnside Av,142,3558297,11538,4,0.17,Good,None,0,2,Bronx,5,BX36,University Heights-Morris Heights,24298.14111,21251406.27
-73.890064,40.873412,40.873412,-73.890064,IRT,4,Jerome,Bedford Pk Blvd-Lehman College,249,1827260,6089,1,0.05,Good,None,0,2,Bronx,5,BX28,Van Cortlandt Village,22003.83996,25673275.3
-73.903879,40.858407,40.858407,-73.903879,IRT,4,Jerome,183 St,242,2007140,6356,1,0.05,Good,Planned component work on platform components,1,2,Bronx,5,BX40,Fordham South,15878.27292,6307283.622
-73.911794,40.84848,40.84848,-73.911794,IRT,4,Jerome,176 St,259,1848854,5914,3,0.14,Good,None,0,2,Bronx,5,BX36,University Heights-Morris Heights,24298.14111,21251406.27
-73.917791,40.840075,40.840075,-73.917791,IRT,4,Jerome,170 St,174,2941958,9403,3,0.13,Good,Planned component work on platform components,1,2,Bronx,5,BX63,West Concourse,28550.70037,19369542.22
-73.9214,40.835537,40.835537,-73.9214,IRT,4,Jerome,167 St,164,3067345,9793,3,0.13,Good,Planned component work on platform components,1,2,Bronx,5,BX63,West Concourse,28550.70037,19369542.22
-73.925831,40.827994,40.827994,-73.925831,IRT,4,Jerome,161 St-Yankee Stadium,42,8961029,27541,7,0.14,Good,None,0,2,Bronx,5,BX63,West Concourse,28550.70037,19369542.22
-73.927351,40.818375,40.818375,-73.927351,IRT,4,Jerome,149 St-Grand Concourse,106,4536888,14576,7,0.2,Regular,Planned component work on station lighting,1,2,Bronx,5,BX39,Mott Haven-Port Morris,35601.18369,41903939.65
-73.880049,40.840295,40.840295,-73.880049,IRT,2/5/15,White Plains,West Farms Sq-E Tremont Av,190,2567773,8170,3,0.1,Good,Planned component work on street stairs,1,2,Bronx,5,BX17,East Tremont,29637.32829,19256405.16
-73.893064,40.824073,40.824073,-73.893064,IRT,2/5/15,White Plains,Simpson St,160,3121036,9948,4,0.2,Regular,Planned component work on street stairs,1,2,Bronx,5,BX27,Hunts Point,44778.619,49734670.56
-73.90177,40.819585,40.819585,-73.90177,IRT,2/5/15,White Plains,Prospect Av,197,2445131,7857,2,0.09,Good,Planned component work on street stairs,1,2,Bronx,5,BX34,Melrose South-Mott Haven North,19596.17495,17269793.87
